second25,ms26,D,CPM,Vr,valid
1287,684,1846,131,366,1
1288,132,1869,133,378,1
1288,596,1859,129,356,1
1289,60,1771,131,330,1
1289,493,1829,133,358,1
1289,957,1896,131,378,1
1290,405,1873,136,359,1
1290,853,1917,131,382,1
1291,309,1978,131,390,1
1291,773,1882,131,342,1
1292,221,1928,131,368,1
1292,677,1882,133,367,1
1293,117,1916,133,394,1
1293,565,1942,133,389,1
1294,21,1839,133,349,1
1294,469,1886,131,360,1
1294,925,1888,133,353,1
1295,389,1828,129,336,1
1295,845,1839,129,359,1
1296,293,1846,133,359,1
1296,757,1836,131,342,1
1297,205,1834,131,347,1
1297,677,1811,127,346,1
1298,157,1769,127,319,1
1298,614,1757,129,321,1
1299,62,1668,136,294,1
1299,518,1764,129,369,1
1299,982,1810,131,350,1
1300,422,1794,133,335,1
1300,886,1783,131,337,1
1301,326,1809,136,362,1
1301,782,1847,131,362,1
1302,246,1682,131,273,1
1310,455,1632,7,376,1
1310,951,1590,131,315,1
1311,399,1631,131,302,1
1311,823,1639,136,315,1
1312,263,1697,136,362,1
1312,711,1782,133,366,1
1313,159,1905,136,404,1
1313,599,1940,133,396,1
1314,47,1894,133,355,1
1314,503,1914,129,360,1
1314,951,1826,138,347,1
1315,391,1758,136,342,1
1315,831,1742,136,357,1
1316,279,1736,136,347,1
1316,711,1656,138,299,1
1317,159,1411,136,180,1
1338,882,1397,2,326,1
1339,354,1550,138,364,1
1339,778,1705,138,374,1
1340,202,1884,138,423,1
1340,642,1979,136,468,1
1341,82,2103,136,453,1
1341,506,2134,144,463,1
1341,954,2159,133,445,1
1342,386,2197,136,461,1
1342,850,2168,131,456,1
1343,290,2168,136,458,1
1343,738,2177,131,430,1
1344,194,2161,131,432,1
1344,651,2095,133,427,1
1345,107,2029,133,413,1
1345,539,1993,136,391,1
1345,987,1974,133,396,1
1346,427,2046,136,424,1
1346,883,2018,131,394,1
1347,347,1972,131,400,1
1347,795,1973,131,404,1
1348,267,1998,127,381,1
1348,723,1972,133,387,1
1349,179,2006,129,414,1
1349,651,2060,129,426,1
1350,99,2056,131,405,1
1350,563,2045,131,398,1
1351,19,2024,131,376,1
1351,475,1945,129,377,1
1351,939,1979,131,397,1
1352,395,1947,131,376,1
1352,851,1880,131,366,1
1353,324,1932,125,371,1
1353,772,1876,133,360,1
1354,244,1964,129,410,1
1354,716,1933,125,366,1
1355,172,1938,129,375,1
1355,636,1910,131,369,1
1356,92,1946,131,400,1
1356,556,1971,131,381,1
1357,36,1943,125,364,1
1357,500,1947,127,369,1
1357,948,1920,133,371,1
1358,404,1923,133,388,1
1358,860,1997,129,398,1
1359,316,1929,131,371,1
1359,772,1897,131,345,1
1360,220,1995,133,409,1
1360,684,2014,129,410,1
1361,132,1955,133,375,1
1361,588,1891,131,331,1
1362,52,1885,131,349,1
1362,500,1848,131,331,1
1362,956,1923,131,388,1
1363,429,1873,127,344,1
1363,893,1909,131,381,1
1364,357,1950,129,397,1
1364,829,1943,127,378,1
1365,293,2009,127,427,1
1365,765,1911,131,369,1
1366,221,1954,127,363,1
1366,693,1875,127,345,1
1367,141,1940,133,411,1
1367,581,1936,138,422,1
1368,13,1929,136,373,1
1368,469,1950,131,379,1
1368,925,1956,131,366,1
1369,381,1999,131,397,1
1369,837,1927,133,375,1
1370,261,1884,138,381,1
1370,725,1905,131,355,1
1371,181,1839,131,336,1
1371,637,1866,129,362,1
1372,93,1908,131,364,1
1372,550,1930,131,386,1
1373,14,1811,133,335,1
1373,470,1668,129,288,1
1373,918,1643,133,291,1
1374,366,1737,131,337,1
1374,822,1779,131,375,1
1375,294,1758,129,355,1
1375,742,1737,133,320,1
1376,182,1699,133,283,1
1376,646,1744,129,298,1
1377,110,1664,129,311,1
1377,582,1698,127,343,1
1378,38,1713,131,324,1
1378,510,1664,129,300,1
1378,990,1662,125,304,1
1379,406,1805,138,377,1
1379,870,1766,133,345,1
1380,310,1787,136,334,1
1380,734,1848,136,356,1
1381,182,1852,136,359,1
1381,631,1797,136,360,1
1382,63,1723,138,325,1
1382,511,1655,131,298,1
1382,959,1583,133,284,1
1383,415,1654,131,329,1
1383,871,1693,131,331,1
1384,319,1606,136,267,1
1384,767,1634,131,280,1
1385,239,1630,125,300,1
1385,687,1661,136,340,1
1386,143,1666,133,315,1
1386,591,1783,131,379,1
1387,39,1799,133,366,1
1387,487,1747,133,322,1
1387,943,1675,133,292,1
1388,407,1624,129,288,1
1388,847,1678,133,350,1
1389,319,1691,129,321,1
1389,751,1685,136,323,1
1390,207,1652,133,305,1
1390,632,1637,138,327,1
1391,64,1713,138,357,1
1391,520,1767,131,353,1
1391,976,1682,133,304,1
1392,416,1691,133,316,1
